gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Cvig_LOC111130470,1690.54781542726,0.512714954009433,0.232126313891701,0.0190904887124987,0.0509871701325689
Cvig_novel.277,1705.41446582626,-0.160915341194193,0.422371175636536,0.644246509609085,0.757768665793999
Cvig_LOC111104143,1616.94753441879,0.0314916894721405,0.214458536916242,0.877478964677684,0.922314467162351
Cvig_LOC111137548,1685.98470199914,0.422378343459724,0.192317394846452,0.0221921497257258,0.0577171541840235
Cvig_LOC111119403,1597.10218641482,-0.503327997861557,0.178537470490942,0.00349237858181434,0.0122937068942902
Cvig_LOC111103427,1724.96130197875,0.851142526610183,0.149507948345337,5.13110219376011e-09,6.46666475038605e-08
Cvig_LOC111103270,1853.77702915444,2.07106855429614,0.341335346906651,1.94761509244846e-11,3.58445263076351e-10
Cvig_LOC111104126,1620.45890926873,-0.2236594115875,0.191106257112895,0.223619445601504,0.357316985729379
Cvig_LOC111118590,1713.24612069003,0.745421504751475,0.179356048308248,1.61944762479202e-05,0.000105854693999304
Cvig_LOC111130521,1645.60829325542,-0.270318718875861,0.261408145247728,0.265850402899979,0.407178921939143
Cvig_LOC111119813,1613.80219257075,0.251602701711444,0.20288646443675,0.194952007381269,0.322822103561267
Cvig_LOC111105725,1685.9527999047,0.491653498226199,0.218940904161175,0.0179197493050153,0.0483722823743547
Cvig_LOC111126580,1617.1305553748,-0.0361007129177138,0.24183456199784,0.873811756897647,0.920344953715193
Cvig_LOC111125105,1602.12959032364,0.139911584600093,0.268464526664178,0.573655019278665,0.700741464650925
Cvig_LOC111136776,1633.32652681857,0.525861651804524,0.362672593566661,0.0948339783985342,0.186330604084818
Cvig_LOC111129944,1818.38297000383,2.12670799082962,0.373681231428196,1.69392094201499e-10,2.68246667248307e-09
Cvig_LOC111107058,1610.168590521,0.288846219432213,0.241404714788301,0.202726274602188,0.331966379377389
Cvig_LOC111138017,1735.37735355647,1.09663319564047,0.183791752753186,5.49713507222617e-10,8.0132682926698e-09
Cvig_LOC111103826,1703.38959597611,0.844870424768246,0.257143234895186,0.000402549155433734,0.00187790788348967
Cvig_LOC111125286,1823.31657580003,1.43981970362013,0.305920935014793,2.0642996862966e-07,1.96139559048874e-06
Cvig_LOC111108339,1540.51063778235,-1.3504065466825,0.221200780767211,1.13758022944115e-10,1.85069460225482e-09
Cvig_LOC111120525,1693.49639499167,0.868766968354421,0.143228343415629,5.21614855902509e-10,7.63896965155276e-09
Cvig_LOC111100798,1613.02433131461,0.206672613747121,0.221111219753623,0.324738290658838,0.471372601639658
Cvig_LOC111128833,1587.84516027477,0.0932371045366569,0.164285985778588,0.559227853793587,0.689149255719927
Cvig_LOC111130504,2079.44737521267,5.30016756648113,0.396678423515555,2.82827792537572e-43,8.74686540744872e-41
Cvig_LOC111129872,1529.80695655225,-1.21489391076489,0.167847705906888,7.5683879438034e-14,1.89179712905926e-12
Cvig_LOC111128460,1618.2677718637,0.50443173599127,0.283536276689598,0.0521394909623702,0.115680140836121
Cvig_LOC111136896,1594.27487435839,-0.159094286377535,0.119898850086214,0.177862281975536,0.30087224822599
Cvig_LOC111123833,1773.72155371416,1.72963801379414,0.185737882795308,4.51990904060182e-22,2.54608090510329e-20
Cvig_LOC111136740,1689.85508009008,0.845061194779019,0.258425796218083,0.000424886130451499,0.00196842898885189
Cvig_LOC111124902,1598.47368550783,-0.116950101837356,0.14754209153896,0.417267345662635,0.563232441060399
Cvig_LOC111124885,1743.75964510374,1.84378870533427,0.273545314824237,4.08876994452455e-13,9.27248367361804e-12
Cvig_LOC111125666,1799.94016529813,2.43804281462487,0.366894738354498,2.59364699384932e-13,6.02478603983628e-12
Cvig_LOC111137596,1533.0333422096,-1.0590888008104,0.164532089965435,3.07140905562076e-11,5.47078479161812e-10
Cvig_LOC111126389,1579.26525456412,0.349158676694681,0.305360453791301,0.206203383343639,0.335916428815075
Cvig_LOC111133398,1647.99794614742,0.920953051057063,0.306300876432939,0.000858408725760439,0.00365529963313367
Cvig_LOC111124875,1576.30260631111,-0.0820615154453658,0.114059504624342,0.465732663321373,0.609542257832228
Cvig_LOC111122558,1685.77225772447,0.644943405996245,0.324120680217413,0.025693748152012,0.0651587173772183
Cvig_LOC111125520,1512.60559586398,-0.645438662755371,0.159389239185349,3.07249991754598e-05,0.000188074967520033
Cvig_LOC111119215,1598.02999771993,0.246825447660008,0.101254675161451,0.0137125178350399,0.0388225969400767
Cvig_LOC111104049,1607.46813582439,-0.29940422322887,0.286696191896498,0.254020206037968,0.392874455749545
Cvig_LOC111136286,1754.91456190959,0.535156253806823,0.610001791160888,0.195807909206874,0.323797467809333
Cvig_LOC111103306,1710.41825097904,1.49701882738222,0.287775674363962,1.37641330692672e-08,1.621925953194e-07
Cvig_LOC111128838,1701.39460015189,1.65470103920735,0.193481802959829,5.43716922562712e-19,2.3209134400867e-17
Cvig_LOC111122946,1841.45880501642,2.91895475268584,0.382720286703468,1.6911778241853e-16,5.60380298990812e-15
Cvig_LOC111135069,1595.06812484338,0.389543256950905,0.113093415979341,0.000477252142280244,0.00217839948317614
Cvig_LOC111135550,1590.01048425874,0.447709858896826,0.255623492367417,0.0600192477013398,0.129589813055357
Cvig_LOC111137171,1883.03193038832,3.17720899925782,0.193532208361285,1.31338942990409e-62,1.42865067470084e-59
Cvig_LOC111122645,1573.31620751673,0.304059294545914,0.252894870181621,0.1977829085191,0.326106097074797
Cvig_LOC111125444,1616.83139872242,0.732417552795379,0.354652732529995,0.0180105920838485,0.0485510277973852
Cvig_LOC111111297,1639.50354938402,1.00942193762616,0.385074105465782,0.00218214026550284,0.0081934477149065
Cvig_LOC111135209,1800.62053181157,2.41340808132071,0.25873947931632,9.75303313845372e-23,5.89385881901384e-21
Cvig_LOC111122102,1610.2732455437,0.120791765494245,0.201646601441918,0.531683930828568,0.666480015815108
Cvig_LOC111114702,1621.98506155098,0.877017955238381,0.295117832631555,0.00106846515553869,0.00441276948565959
Cvig_LOC111126209,1641.58600469922,0.562085131177187,0.159232038953931,0.000281289434583505,0.0013699668386501
Cvig_LOC111138319,1621.57171917791,0.882989527675679,0.245240592543042,0.000116618738739285,0.000623092498904258
Cvig_LOC111119006,1621.90795505571,0.466561399553945,0.179453171145864,0.00705983399843254,0.022314876100256
Cvig_LOC111115769,1592.09409561664,0.531811183957279,0.262258463676057,0.0287659191429436,0.071551878202504
Cvig_LOC111134887,1757.35362281271,2.07196306570391,0.172964040320985,6.77081604040188e-35,1.22048795425416e-32
Cvig_LOC111122588,1559.63756769001,-0.155417854364438,0.201184459786503,0.419961408741298,0.566043524130245
Cvig_LOC111137541,1628.3564402283,0.553192759098545,0.163499064049904,0.000489613466067521,0.00222740940108162
Cvig_LOC111137141,1507.16216343609,-0.397799500566196,0.173268113259083,0.0176668893239258,0.0478121194064704
Cvig_LOC111129006,1583.21762687564,0.459513619436008,0.162501139511835,0.00359662944596168,0.012601985546247
Cvig_LOC111114537,1854.40108398447,3.34908757476617,0.246045321594063,3.00577678141208e-44,1.00869392095366e-41
Cvig_LOC111134530,1783.58926621103,2.59504986920709,0.235977433893175,3.25866973932147e-30,4.06303308011445e-28
Cvig_LOC111106754,1610.26302046557,0.562349368785727,0.132454837427404,1.48780972308336e-05,9.81245195790606e-05
Cvig_LOC111102955,2134.24631809322,6.91089081485321,0.781786871431874,2.86598732680043e-22,1.62896522925981e-20
Cvig_LOC111130532,1614.46625022285,0.356575756194423,0.176251704796644,0.0363831900837331,0.0867569529965501
Cvig_LOC111127452,1623.87678298196,0.918584876786743,0.133961869343496,2.50818957293026e-12,5.17129673712974e-11
Cvig_LOC111109862,1651.47032682651,0.851954427972568,0.156069942416836,1.9618134641602e-08,2.23171315279241e-07
Cvig_LOC111120889,1554.62685284869,0.107134499982964,0.198689196584738,0.573942107269736,0.700956435550111
Cvig_LOC111129828,1607.677430009,0.821481261914553,0.248399482102072,0.000393289283519923,0.00183824425079804
Cvig_LOC111129125,1624.86886467199,0.970506955022701,0.11225074684312,1.70135135936124e-18,7.00641365940605e-17
Cvig_LOC111100383,1488.99232582151,-0.248318853211828,0.237254318470866,0.266288479078404,0.407651658377572
Cvig_LOC111110673,1549.11660653751,-0.644526650705746,0.338368426892189,0.0310452765380253,0.0761585853015016
Cvig_LOC111103560,1580.93292010607,0.682234748345674,0.410153176959192,0.0467417272884768,0.106031050432547
Cvig_LOC111120783,1598.49671635996,0.281564397069354,0.195344938850535,0.133154581269326,0.242039948492618
